qBM7v,7k/p6p/1p1P2pP/2q2rQ1/4Rp2/2P2P2/P5PK/2R5 b - - 0 31,f5g5 e4e8,430,105,94,303,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/AF1Us4vR/black#62,
AuCfJ,1k3r2/1pp1Q3/p7/4pr2/P1P4P/1P4p1/6P1/3R1q1K w - - 2 32,d1f1 f5f1,400,96,100,109,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/PAKornBY#63,
AvbVH,1r4k1/5p1p/r3p1pB/2p1b3/2P1P3/1N5P/3Q2P1/7K b - - 2 30,b8b3 d2d8,400,94,90,235,endgame mate mateIn1 oneMove,https://lichess.org/mQd9aDTd/black#60,
Rc8pf,4r1k1/p4ppp/1p6/4QP1q/2p5/2P2R2/1P4P1/3R2K1 b - - 0 33,e8e5 d1d8 e5e8 d8e8,493,105,88,351,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/u6oDd8zI/black#66,
hfcIU,k7/1p6/p7/3P4/5PN1/7p/PPr1P2P/5R1K w - - 0 34,f1f2 c2c1 f2f1 c1f1,466,86,78,95,endgame mate mateIn2 short,https://lichess.org/w5sXPZsh#67,
47j3a,r3r1k1/2p2ppp/8/2Q1R3/p1PP4/6Pb/5P1P/4q1K1 w - - 0 25,e5e1 e8e1,400,89,100,331,endgame master mate mateIn1 oneMove,https://lichess.org/2ZH9fmXe#49,
wVcjx,r2q1rk1/1pp2pp1/pn1pnb1p/4P3/3P3B/2NQ4/PPB2PPP/R3R1K1 b - - 0 18,f6h4 d3h7,471,110,96,534,mate mateIn1 middlegame oneMove,https://lichess.org/8wLXuc0Y/black#36,Philidor_Defense Philidor_Defense_Other_variations
0gVF0,4r2k/5qpp/8/5Q2/8/4R1PP/5P2/6K1 b - - 0 34,f7f5 e3e8 f5f8 e8f8,479,103,94,618,backRankMate endgame hangingPiece mate mateIn2 queenRookEndgame short,https://lichess.org/WwYysN57/black#68,
6DNBq,3rR1kr/p4ppp/2Q5/2B5/8/8/Pq3PPP/R5K1 b - - 2 22,d8e8 c6e8,482,85,87,184,endgame mate mateIn1 oneMove,https://lichess.org/O2aq9QuB/black#44,
Yjdog,rnb2rk1/ppp3pp/8/3p4/3bQ3/1B6/PPP3PP/RNB1Rq1K w - - 2 13,e1f1 f8f1,484,82,100,88,backRankMate mate mateIn1 oneMove opening,https://lichess.org/la8LyZxF#25,Russian_Game Russian_Game_Italian_Variation
pibwL,6k1/p3pr1p/2p3p1/3p4/6Qn/2P5/PP4PP/2R2q1K w - - 4 23,c1f1 f7f1,427,99,94,209,endgame mate mateIn1 oneMove,https://lichess.org/heqGoM8t#45,
vpNn1,rnb2rk1/4qppp/2p1p3/1p2P3/p1pPQ3/2P2N2/PPB2PPP/R4RK1 b - - 1 15,c8b7 e4h7,426,90,100,169,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/tKOLVJqN/black#30,Trompowsky_Attack Trompowsky_Attack_Classical_Defense
JnlNs,bk5r/p1p4p/Bp2pqpn/1P2N3/8/P2Q4/2P3PP/3R2K1 b - - 0 23,f6e5 d3d8 h8d8 d1d8,439,90,96,288,mate mateIn2 middlegame queensideAttack sacrifice short,https://lichess.org/Lvr8DwsZ/black#46,
